Coin Name,Market Cap,Price,Volume(24h),Circulating Supply,Change(24h)
Bitcoin,"$170,181,211,989","$9,234.37","$16,795,053,330","18,429,112 BTC",-0.18%
Ethereum,"$26,774,811,765",$239.70,"$7,679,091,270","111,703,426 ETH",-0.52%
Tether,"$9,188,982,617",$1.00,"$19,612,900,032","9,187,991,663 USDT *",-0.25%
XRP,"$8,766,878,298",$0.198087,"$1,159,748,514","44,257,803,618 XRP *",-1.19%
Bitcoin Cash,"$4,384,150,029",$237.52,"$1,110,830,610","18,458,300 BCH",0.19%
Bitcoin SV,"$3,360,682,304",$182.08,"$1,176,894,097","18,456,990 BSV",-1.21%
Cardano,"$3,030,527,750",$0.116887,"$499,402,423","25,927,070,538 ADA",-3.73%
Litecoin,"$2,872,265,704",$44.19,"$1,805,574,737","64,999,079 LTC",0.21%
Binance Coin,"$2,660,859,945",$17.11,"$163,268,160","155,536,713 BNB *",2.25%
Crypto.com Coin,"$2,572,648,062",$0.142531,"$64,947,064","18,049,771,689 CRO *",0.60%
EOS,"$2,438,766,447",$2.61,"$1,193,973,095","934,213,668 EOS *",-0.45%
Chainlink,"$2,158,280,209",$6.17,"$594,747,039","350,000,000 LINK *",3.15%
Tezos,"$1,884,394,123",$2.56,"$91,062,701","735,850,296 XTZ *",2.13%
Stellar,"$1,801,693,913",$0.088142,"$534,965,189","20,440,757,532 XLM *",-2.67%
TRON,"$1,212,059,287",$0.018177,"$569,445,831","66,682,072,191 TRX *",0.30%
UNUS SED LEO,"$1,210,186,705",$1.21,"$15,352,931","999,498,893 LEO *",-0.21%
Monero,"$1,202,947,101",$68.25,"$95,760,313","17,626,862 XMR",1.93%
USD Coin,"$1,092,525,961",$1.00,"$267,520,016","1,092,265,556 USDC *",-0.29%
VeChain,"$995,162,458",$0.017945,"$498,739,431","55,454,734,800 VET *",-0.32%
Huobi Token,"$912,637,632",$4.19,"$88,591,219","217,637,531 HT *",0.78%
Cosmos,"$765,877,797",$4.02,"$229,781,036","190,688,439 ATOM *",9.87%
Neo,"$754,423,849",$10.70,"$209,687,309","70,538,831 NEO *",-0.24%
Ethereum Classic,"$743,258,048",$6.39,"$633,880,575","116,313,299 ETC",-3.32%
IOTA,"$695,259,242",$0.250136,"$17,823,286","2,779,530,283 MIOTA *",-0.70%
Dash,"$684,998,339",$71.40,"$213,009,478","9,593,169 DASH",-0.01%
Zcash,"$536,481,251",$56.10,"$181,414,537","9,563,388 ZEC",-0.81%
Maker,"$452,566,708",$450.06,"$5,391,576","1,005,577 MKR *",-0.94%
Compound,"$450,718,656",$175.97,"$59,893,235","2,561,279 COMP *",-1.49%
Dogecoin,"$442,256,538",$0.003528,"$219,009,524","125,353,111,328 DOGE",-23.69%
Ontology,"$429,664,907",$0.616676,"$71,390,641","696,743,794 ONT *",-0.78%
NEM,"$409,423,952",$0.045492,"$9,941,525","8,999,999,999 XEM *",-1.42%
HedgeTrade,"$396,838,581",$1.38,"$212,060","288,208,798 HEDG *",-7.75%
Basic Attention Token,"$374,598,467",$0.252943,"$127,823,000","1,480,958,645 BAT *",-1.87%
OKB,"$297,007,586",$4.95,"$129,310,883","60,000,000 OKB *",-0.65%
Kyber Network,"$293,222,184",$1.60,"$81,537,904","182,944,453 KNC *",-0.67%
0x,"$289,335,565",$0.411869,"$52,782,408","702,494,632 ZRX *",-2.67%
DigiByte,"$286,022,189",$0.021457,"$11,281,276","13,330,158,755 DGB",-0.03%
FTX Token,"$284,207,732",$3.01,"$2,923,641","94,346,958 FTT *",0.33%
Paxos Standard,"$245,190,330",$1.00,"$156,769,444","244,951,954 PAX *",-0.24%
Synthetix Network Token,"$242,395,633",$2.79,"$9,871,932","86,773,183 SNX *",-1.94%
Aave,"$238,106,746",$0.183159,"$7,438,067","1,299,999,942 LEND *",-3.28%
ICON,"$219,997,945",$0.401721,"$34,414,850","547,638,769 ICX *",4.07%
The Midas Touch Gold,"$219,788,069",$0.057535,"$33,622,091","3,820,102,323 TMTG *",11.43%
OMG Network,"$216,561,491",$1.54,"$83,056,504","140,245,398 OMG *",0.41%
Augur,"$210,786,227",$19.16,"$17,274,452","11,000,000 REP *",-0.99%
THETA,"$210,350,108",$0.241642,"$10,147,598","870,502,690 THETA *",0.62%
Zilliqa,"$202,097,427",$0.019688,"$40,617,630","10,265,179,248 ZIL",0.33%
Qtum,"$197,120,265",$2.04,"$320,689,335","96,848,308 QTUM *",-2.05%
Hedera Hashgraph,"$193,603,376",$0.040727,"$8,344,822","4,753,742,720 HBAR *",0.72%
